time,SST (degrees Celsius),standard error (degrees Celsius)
19/08/2021 12.00,15.922,0.32
20/08/2021 12.00,16.07,0.3
21/08/2021 12.00,16.064,0.3
22/08/2021 12.00,16.052,0.302
23/08/2021 12.00,16.108,0.3
24/08/2021 12.00,16.066,0.3
25/08/2021 12.00,15.862,0.31
26/08/2021 12.00,15.862,0.3
27/08/2021 12.00,15.942,0.3
28/08/2021 12.00,16.14,0.3
29/08/2021 12.00,15.981,0.3
30/08/2021 12.00,15.842,0.3
31/08/2021 12.00,15.783,0.3
01/09/2021 12.00,15.74,0.21
02/09/2021 12.00,15.694,0.2
03/09/2021 12.00,15.701,0.2
04/09/2021 12.00,15.771,0.2
05/09/2021 12.00,15.849,0.21
06/09/2021 12.00,15.658,0.21
07/09/2021 12.00,16.081,0.2
08/09/2021 12.00,16.082,0.2
09/09/2021 12.00,16.131,0.2
10/09/2021 12.00,16.14,0.39
11/09/2021 12.00,16.089,0.45
12/09/2021 12.00,15.925,0.2
13/09/2021 12.00,15.882,0.2
14/09/2021 12.00,15.852,0.2
15/09/2021 12.00,15.892,0.23
16/09/2021 12.00,15.714,0.2
17/09/2021 12.00,15.664,0.21
18/09/2021 12.00,15.516,0.238
19/09/2021 12.00,15.463,0.28
20/09/2021 12.00,15.608,0.2
21/09/2021 12.00,15.511,0.2
22/09/2021 12.00,15.461,0.21
23/09/2021 12.00,14.803,0.2
24/09/2021 12.00,14.596,0.2
25/09/2021 12.00,14.568,0.2
26/09/2021 12.00,14.289,0.2
27/09/2021 12.00,14.507,0.2
28/09/2021 12.00,14.537,0.2
29/09/2021 12.00,14.547,0.2
30/09/2021 12.00,14.18,0.22
01/10/2021 12.00,14.097,0.2
02/10/2021 12.00,13.534,0.21
03/10/2021 12.00,13.393,0.2
04/10/2021 12.00,13.389,0.2
05/10/2021 12.00,13.386,0.2
06/10/2021 12.00,13.31,0.208
07/10/2021 12.00,13.341,0.228
08/10/2021 12.00,13.143,0.229
09/10/2021 12.00,13.205,0.22
10/10/2021 12.00,13.024,0.2
11/10/2021 12.00,12.919,0.21
12/10/2021 12.00,12.772,0.21
13/10/2021 12.00,12.651,0.21
14/10/2021 12.00,12.399,0.208
15/10/2021 12.00,12.265,0.21
16/10/2021 12.00,12.282,0.2
17/10/2021 12.00,12.132,0.24
18/10/2021 12.00,12.052,0.302
19/10/2021 12.00,12.032,0.2
20/10/2021 12.00,11.966,0.22
21/10/2021 12.00,11.623,0.2
22/10/2021 12.00,11.379,0.21
23/10/2021 12.00,11.35,0.2
24/10/2021 12.00,10.961,0.22
25/10/2021 12.00,10.981,0.21
26/10/2021 12.00,10.961,0.22
27/10/2021 12.00,10.602,0.42
28/10/2021 12.00,10.551,0.38
29/10/2021 12.00,10.697,0.262
30/10/2021 12.00,10.812,0.212
31/10/2021 12.00,10.715,0.21
01/11/2021 12.00,10.644,0.2
02/11/2021 12.00,10.384,0.2
03/11/2021 12.00,10.386,0.2
04/11/2021 12.00,10.436,0.2
05/11/2021 12.00,10.448,0.2
06/11/2021 12.00,10.299,0.21
07/11/2021 12.00,10.233,0.2
08/11/2021 12.00,9.995,0.22
09/11/2021 12.00,10.063,0.2
10/11/2021 12.00,10.104,0.21
11/11/2021 12.00,10.15,0.21
12/11/2021 12.00,10.01,0.25
13/11/2021 12.00,10.04,0.26
14/11/2021 12.00,9.769,0.25
15/11/2021 12.00,9.679,0.311
16/11/2021 12.00,9.822,0.23
17/11/2021 12.00,9.803,0.21
18/11/2021 12.00,9.795,0.218
19/11/2021 12.00,9.844,0.21
20/11/2021 12.00,9.776,0.2
21/11/2021 12.00,9.794,0.22
22/11/2021 12.00,9.603,0.2
23/11/2021 12.00,9.532,0.2
24/11/2021 12.00,9.483,0.2
25/11/2021 12.00,9.442,0.21
26/11/2021 12.00,9.066,0.22
27/11/2021 12.00,8.884,0.2
28/11/2021 12.00,8.816,0.2
29/11/2021 12.00,8.828,0.2
30/11/2021 12.00,8.821,0.22
01/12/2021 12.00,8.643,0.22
02/12/2021 12.00,8.419,0.23
03/12/2021 12.00,8.379,0.22
04/12/2021 12.00,8.371,0.23
05/12/2021 12.00,8.218,0.29
06/12/2021 12.00,7.902,0.22
07/12/2021 12.00,7.834,0.232
08/12/2021 12.00,7.776,0.22
09/12/2021 12.00,7.745,0.22
10/12/2021 12.00,7.735,0.22
11/12/2021 12.00,7.717,0.24
12/12/2021 12.00,7.736,0.22
13/12/2021 12.00,7.734,0.23
14/12/2021 12.00,7.682,0.22
15/12/2021 12.00,7.848,0.23
16/12/2021 12.00,7.848,0.22
17/12/2021 12.00,7.836,0.22
18/12/2021 12.00,7.715,0.22
19/12/2021 12.00,7.748,0.23
20/12/2021 12.00,7.776,0.24
21/12/2021 12.00,7.728,0.23
22/12/2021 12.00,7.687,0.22
23/12/2021 12.00,8.015,0.23
24/12/2021 12.00,7.967,0.23
25/12/2021 12.00,7.917,0.22
26/12/2021 12.00,7.753,0.222
27/12/2021 12.00,7.644,0.24
